Start,End,W
Кольцевая_Курская,Люблинско-Дмитровская_Чкаловская,10
Кольцевая_Курская,Арбатско-Покровская_Курская,1
Кольцевая_Курская,МЦД-2_Курская,1
Кольцевая_Курская,Кольцевая_Комсомольская,1
Кольцевая_Комсомольская,Сокольническая_Комсомольская,10
Кольцевая_Комсомольская,МЦД-2_Каланчёвская,1
Кольцевая_Комсомольская,Кольцевая_Проспект-Мира,1
Кольцевая_Проспект-Мира,Калужско-Рижская_Проспект-Мира,10
Кольцевая_Проспект-Мира,Кольцевая_Новослободская,1
Кольцевая_Новослободская,Серпуховско-Тимирязевская_Менделеевская,10
Кольцевая_Новослободская,Кольцевая_Белорусская,1
Кольцевая_Белорусская,Замоскворецкая_Белорусская,10
Кольцевая_Белорусская,МЦД-1_Белорусская,1
Кольцевая_Белорусская,Кольцевая_Краснопресненская,1
Кольцевая_Краснопресненская,Таганско-Краснопресненская_Баррикадная,10
Кольцевая_Киевская,Кольцевая_Краснопресненская,1
Калужско-Рижская_Новоясеневская,Бутовская_Битцевский-парк,1
Калужско-Рижская_Новоясеневская,Калужско-Рижская_Ясенево,10
Калужско-Рижская_Ясенево,Калужско-Рижская_Теплый-стан,10
Калужско-Рижская_Теплый-стан,Калужско-Рижская_Коньково,10
Калужско-Рижская_Коньково,Калужско-Рижская_Беляево,10
Калужско-Рижская_Беляево,Калужско-Рижская_Калужская,10
Калужско-Рижская_Калужская,Калужско-Рижская_Новые-Черёмушки,10
Калужско-Рижская_Новые-Черёмушки,Калужско-Рижская_Профсоюзная,10
Калужско-Рижская_Профсоюзная,Калужско-Рижская_Академическая,10
Калужско-Рижская_Академическая,Калужско-Рижская_Ленинский-проспект,10
Калужско-Рижская_Ленинский-проспект,Центральное-Кольцо_Площадь-Гагарина,1
Калужско-Рижская_Ленинский-проспект,Калужско-Рижская_Шаболовская,10
Калужско-Рижская_Шаболовская,Калужско-Рижская_Октябрьская,10
Калужско-Рижская_Октябрьская,Кольцевая_Октябрьская,1
Калужско-Рижская_Октябрьская,Калужско-Рижская_Третьяковская,10
Калужско-Рижская_Третьяковская,Калининско-Солнцевская_Третьяковская,1
Калужско-Рижская_Третьяковская,Замоскворецкая_Новокузнецкая,1
Калужско-Рижская_Третьяковская,Калужско-Рижская_Китай-город,10
Калужско-Рижская_Китай-город,Таганско-Краснопресненская_Китай-город,1
Калужско-Рижская_Китай-город,Калужско-Рижская_Тургеневская,10
Калужско-Рижская_Тургеневская,Люблинско-Дмитровская_Сретенский-бульвар,1
Калужско-Рижская_Тургеневская,Сокольническая_Чистые-пруды,1
Калужско-Рижская_Тургеневская,Калужско-Рижская_Сухаревская,10
Калужско-Рижская_Сухаревская,Калужско-Рижская_Проспект-Мира,10
Калужско-Рижская_Проспект-Мира,Кольцевая_Проспект-Мира,1
Калужско-Рижская_Проспект-Мира,Калужско-Рижская_Рижская,10
Калужско-Рижская_Рижская,Калужско-Рижская_Алексеевская,10
Калужско-Рижская_Алексеевская,Калужско-Рижская_ВДНХ,10
Калужско-Рижская_ВДНХ,Калужско-Рижская_Ботанический-сад,10
Калужско-Рижская_Ботанический-сад,Центральное-Кольцо_Ботанический-Сад,1
Калужско-Рижская_Ботанический-сад,Калужско-Рижская_Свиблово,10
Калужско-Рижская_Свиблово,Калужско-Рижская_Бабушкинская,10
Калужско-Рижская_Бабушкинская,Калужско-Рижская_Медведково,10
Таганско-Краснопресненская_Котельники,Таганско-Краснопресненская_Жулебино,10
Таганско-Краснопресненская_Жулебино,Таганско-Краснопресненская_Лермонтовский-проспект,10
Таганско-Краснопресненская_Лермонтовский-проспект,Некрасовская_Косино,1
Таганско-Краснопресненская_Лермонтовский-проспект,Таганско-Краснопресненская_Выхино,10
Таганско-Краснопресненская_Выхино,Таганско-Краснопресненская_Рязанский-проспект,10
Таганско-Краснопресненская_Рязанский-проспект,Таганско-Краснопресненская_Кузьминки,10
Таганско-Краснопресненская_Кузьминки,Таганско-Краснопресненская_Текстильщики,10
Таганско-Краснопресненская_Текстильщики,МЦД-2_Текстильщики,1
Таганско-Краснопресненская_Текстильщики,Таганско-Краснопресненская_Волгоградский-проспект,10
Таганско-Краснопресненская_Волгоградский-проспект,Центральное-Кольцо_Угрешская,1
Таганско-Краснопресненская_Волгоградский-проспект,Таганско-Краснопресненская_Пролетарская,10
Таганско-Краснопресненская_Пролетарская,Люблинско-Дмитровская_Крестьянская-застава,1
Таганско-Краснопресненская_Пролетарская,Таганско-Краснопресненская_Таганская,10
Таганско-Краснопресненская_Таганская,Калининско-Солнцевская_Марксистская,1
Таганско-Краснопресненская_Таганская,Кольцевая_Таганская,1
Таганско-Краснопресненская_Таганская,Таганско-Краснопресненская_Китай-город,10
Таганско-Краснопресненская_Китай-город,Калужско-Рижская_Китай-город,1
Таганско-Краснопресненская_Китай-город,Таганско-Краснопресненская_Кузнецкий-мост,10
Таганско-Краснопресненская_Кузнецкий-мост,Сокольническая_Лубянка,1
Таганско-Краснопресненская_Кузнецкий-мост,Таганско-Краснопресненская_Пушкинская,10
Таганско-Краснопресненская_Пушкинская,Серпуховско-Тимирязевская_Чеховская,1
Таганско-Краснопресненская_Пушкинская,Замоскворецкая_Тверская,1
Таганско-Краснопресненская_Пушкинская,Таганско-Краснопресненская_Баррикадная,10
Таганско-Краснопресненская_Баррикадная,Кольцевая_Краснопресненская,1
Таганско-Краснопресненская_Баррикадная,Таганско-Краснопресненская_Улица-1905-года,10
Таганско-Краснопресненская_Улица-1905-года,Таганско-Краснопресненская_Беговая,10
Таганско-Краснопресненская_Беговая,МЦД-1_Беговая,1
Таганско-Краснопресненская_Беговая,Таганско-Краснопресненская_Полежаевская,10
Таганско-Краснопресненская_Полежаевская,Центральное-Кольцо_Хорошёво,1
Таганско-Краснопресненская_Полежаевская,Большая-Кольцевая-Линия_Хорошёвская,1
Таганско-Краснопресненская_Полежаевская,Таганско-Краснопресненская_Октябрьское-Поле,10
Таганско-Краснопресненская_Октябрьское-Поле,Центральное-Кольцо_Зорге,1
Таганско-Краснопресненская_Октябрьское-Поле,Центральное-Кольцо_Панфиловская,1
Таганско-Краснопресненская_Октябрьское-Поле,Таганско-Краснопресненская_Щукинская,10
Таганско-Краснопресненская_Щукинская,Таганско-Краснопресненская_Спартак,10
Таганско-Краснопресненская_Спартак,Таганско-Краснопресненская_Тушинская,10
Таганско-Краснопресненская_Тушинская,МЦД-2_Тушино,1
